"de_temperature","de_radiation_direct_horizontal","de_radiation_diffuse_horizontal","timestamp","id","de_solar_generation_prediction"
"6","0","52","2024-02-01 08:45:00+00",1472,"1487.4893439850048"
"6","0","61","2024-02-01 08:50:00+00",1473,"1847.3403306784112"
"6","0","69","2024-02-01 08:55:00+00",1474,"2202.1941671898057"
"6","0","83","2024-02-01 09:00:00+00",1475,"2641.1117610040264"
"6","0","88","2024-02-01 09:05:00+00",1476,"2910.5803900597057"
"6","0","94","2024-02-01 09:10:00+00",1477,"3171.5040406885337"
"6","0","98","2024-02-01 09:15:00+00",1478,"3171.5040406885337"
"6","0","104","2024-02-01 09:20:00+00",1479,"3421.158040807508"
"6","0","91","2024-02-01 09:25:00+00",1480,"2910.5803900597057"
"6","0","82","2024-02-01 09:30:00+00",1481,"2641.1117610040264"
"6","0","109","2024-02-01 09:35:00+00",1482,"3507.8952726637694"
"6","0","109","2024-02-01 09:40:00+00",1483,"3507.8952726637694"
"6","0","102","2024-02-01 09:45:00+00",1484,"3421.158040807508"
"6","0","106","2024-02-01 09:50:00+00",1485,"3507.8952726637694"
"6","0","129","2024-02-01 09:55:00+00",1486,"3958.347638516536"
"7","0","133","2024-02-01 10:00:00+00",1487,"3958.347638516536"
"7","0","124","2024-02-01 10:05:00+00",1488,"3875.7759600317527"
"7","0","130","2024-02-01 10:10:00+00",1489,"3958.347638516536"
"7","0","124","2024-02-01 10:15:00+00",1490,"3875.7759600317527"
"7","0","117","2024-02-01 10:20:00+00",1491,"3701.4317227468673"
"7","0","117","2024-02-01 10:25:00+00",1492,"3701.4317227468673"
"7","0","114","2024-02-01 10:30:00+00",1493,"3701.4317227468673"
"7","0","102","2024-02-01 10:35:00+00",1494,"3421.158040807508"
"7","0","73","2024-02-01 10:40:00+00",1495,"2453.8915940959614"
"7","0","71","2024-02-01 10:45:00+00",1496,"2202.1941671898057"
"7","0","68","2024-02-01 10:50:00+00",1497,"2202.1941671898057"
"7","0","77","2024-02-01 10:55:00+00",1498,"2453.8915940959614"
"7","0","61","2024-02-01 11:00:00+00",1499,"1800.8803092202033"
"7","0","62","2024-02-01 11:05:00+00",1500,"1800.8803092202033"
